dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,error_type,organization_or_owner,resource_found_by,is_valid_v_0.1.0,is_valid_v_0.2.0,is_valid_v_0.2.1,is_valid_v_1.0.0,is_valid_one_version,initial_schema_version,most_recent_valid_version,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,a2328b60-fe57-4bc9-8aee-1400228383bf,2015_01_22_CONDITIONS_MAD_UTI_DONNEES.pdf,2020-01-24T12:52:59.095000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,bf9bd002-2403-4bce-8966-f2a14dcf7497,Service_WMS_de_DtARA.pdf,2020-01-24T12:52:59.096000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,642abb27-e655-4ba9-b5ed-4292ea2b8ef2,Service_de_telechargement_simple_de_DtARA__flux_ATOM.pdf,2020-01-24T12:52:59.097000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,742973ee-4fb6-4a58-8af0-da406e5ef426,Enjeux_ponctuels_PPR_GARON_GLOBAL___Rhone.pdf,2020-01-24T12:52:59.097000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,76c3aac1-7d7e-417a-aaa3-2fb734c2734a,catalogue_dattributs.pdf,2020-01-24T12:52:59.098000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,2fd33cd0-a448-45c1-869b-b0153e1e4042,Service_WFS_de_DtARA.pdf,2020-01-24T12:52:59.099000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,a886294c-8f80-45f3-bbbb-8da765f66da2,n_enjeu_pprn_20130001_p_069 (export GeoJSON),2020-01-24T12:52:59.099000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f188ee3832007f45df,enjeux-ponctuels-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-ppr-garon-global-rhone/,903bcbef-82ff-4dd9-b104-1a5963714d8b,n_enjeu_pprn_20130001_p_069 (export SHP/WGS-84),2020-01-24T12:52:59.100000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a191c751df1c9ee02d6d,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-brevenne-turdine,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-brevenne-turdine/,5db57851-adce-4965-85be-3ec4cd5679c1,2015_01_22_CONDITIONS_MAD_UTI_DONNEES.pdf,2020-01-24T12:53:07.206000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a191c751df1c9ee02d6d,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-brevenne-turdine,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-brevenne-turdine/,5429cbe0-ecae-471a-a938-4d660800d479,n_enjeu_pprn_20030003_p_069 (export GeoJSON),2020-01-24T12:53:07.207000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a191c751df1c9ee02d6d,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-brevenne-turdine,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-brevenne-turdine/,cd61c8f5-db14-42ec-a94c-c46ee97b16d7,n_enjeu_pprn_20030003_p_069 (export SHP/WGS-84),2020-01-24T12:53:07.208000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a199c751df2201d962e5,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-azergues,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-azergues/,57fb2228-d43e-4e3e-a0eb-c9d28bb8bb58,n_enjeu_pprn_20030004_s_069 (export GeoJSON),2020-01-24T12:53:06.810000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a199c751df2201d962e5,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-azergues,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-azergues/,a1de0022-ee68-461d-8ea7-03b356db5969,n_enjeu_pprn_20030004_s_069 (export SHP/WGS-84),2020-01-24T12:53:06.811000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19188ee3828e67aaf8d,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont/,1d8d023f-03f8-4412-ad4e-6f8831289391,n_enjeu_pprn_20120002_s_069.tab (archive),2020-01-24T12:53:07.440000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19188ee3828e67aaf8d,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont/,53d07ca1-fdac-45c1-8457-53920e527310,n_enjeu_pprn_20120002_s_069.tab (export GeoJSON),2020-01-24T12:53:07.441000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19188ee3828e67aaf8d,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-saone-amont/,27123f0c-3f78-4bff-84aa-f636d1588494,n_enjeu_pprn_20120002_s_069.shp (archive),2020-01-24T12:53:07.442000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
