dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,error_type,organization_or_owner,resource_found_by,is_valid_v_1.1.0,is_valid_v_2.0.0,is_valid_v_2.0.1,is_valid_one_version,initial_schema_version,most_recent_valid_version,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop
59591532a3a7291dd09c803e,interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014,https://www.data.gouv.fr/fr/datasets/interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014/,dbd7c949-16ba-4f2f-a48c-7f5c2bc9a5d4,Export au format GeoJSON,2014-08-20T09:28:46,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56a1f78c88ee3873ca82241e,unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire,https://www.data.gouv.fr/fr/datasets/unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire/,3d13ccbf-529c-49a8-b45c-918f0fa334b1,r_methanisation_p_r52.shp (export SHP/WGS-84),2021-01-20T06:40:04.725000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
5852bf0588ee38292bc65bb6,terrain-daccueil-pour-les-gens-du-voyage-isere,https://www.data.gouv.fr/fr/datasets/terrain-daccueil-pour-les-gens-du-voyage-isere/,eaea0971-46a9-4bbe-bf71-b13e06c0b49f,N_TERRAIN_GENS_VOYAGE_S_038.shp (archive),2020-02-28T06:47:42.451000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56a1f78c88ee3873ca82241e,unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire,https://www.data.gouv.fr/fr/datasets/unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire/,1e6419f3-c4c4-432d-be0d-4c989eb6624d,index.csv,2021-01-20T06:40:04.725000,,dreal-pays-de-la-loire-direction-regionale-de-lenvironnement-de-lamenagement-et-du-logement-pays-de-la-loire,3 - search request,False,False,False,False,,,False,False,False
56a1f78c88ee3873ca82241e,unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire,https://www.data.gouv.fr/fr/datasets/unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire/,50952342-795c-4b7f-8d1f-2488758117f2,nrj_s.png,2021-01-20T06:40:04.726000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
5883cb8788ee3810b49b81ad,terrains-daccueil-pour-les-gens-du-voyage-en-ariege,https://www.data.gouv.fr/fr/datasets/terrains-daccueil-pour-les-gens-du-voyage-en-ariege/,a614489e-83df-444a-849b-4ee860621865,N_TERRAIN_GENS_VOYAGE_S_009.TAB (export GeoJSON),2020-02-29T06:46:42.071000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
5883cb8788ee3810b49b81ad,terrains-daccueil-pour-les-gens-du-voyage-en-ariege,https://www.data.gouv.fr/fr/datasets/terrains-daccueil-pour-les-gens-du-voyage-en-ariege/,ffaacff0-5b5c-4396-a6ce-44cf51dd2ade,N_TERRAIN_GENS_VOYAGE_S_009.TAB (archive),2020-02-29T06:46:42.070000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
5a09808fc751df6a4facb392,terrain-daccueil-pour-les-gens-du-voyage-en-haute-garonne-1,https://www.data.gouv.fr/fr/datasets/terrain-daccueil-pour-les-gens-du-voyage-en-haute-garonne-1/,ff224dbf-5357-456d-8c9e-a74c06153493,N_TERRAIN_GENS_VOYAGE_S_031.TAB (export SHP/WGS-84),2020-02-28T06:40:25.368000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
5a09808fc751df6a4facb392,terrain-daccueil-pour-les-gens-du-voyage-en-haute-garonne-1,https://www.data.gouv.fr/fr/datasets/terrain-daccueil-pour-les-gens-du-voyage-en-haute-garonne-1/,0e2c9e13-952c-4226-a5ca-a85c282c3545,N_TERRAIN_GENS_VOYAGE_S_031.TAB (export GeoJSON),2020-02-28T06:40:25.368000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
5a09808fc751df6a4facb392,terrain-daccueil-pour-les-gens-du-voyage-en-haute-garonne-1,https://www.data.gouv.fr/fr/datasets/terrain-daccueil-pour-les-gens-du-voyage-en-haute-garonne-1/,1b1915b8-ffe2-4487-b706-d8059fb48bfb,N_TERRAIN_GENS_VOYAGE_S_031.TAB (archive),2020-02-28T06:40:25.367000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
