coll_nom,coll_siret,nature de la plage,plage en régie,COLL_NOM,COLL_SIRET,NOM,STATUT,REGIE,NUMERO_VOIE,NOM_VOIE,CODE_POSTAL,LIEU,ACCES_HANDICAP,LABEL_ HANDIPLAGE,EQUIPEMENTS,KIOSQUE VENTE A EMPORTER,INTERNET,DAT_DER_MAJ,last_modified,datagouv_resource_id,Geo Point,Geo Shape,Code Officiel Région,Code Officiel Département,Code Officiel Commune / Arrondissement Municipal,Code Officiel IRIS,Année,Type,Qualité du géocodage,Description,Catégorie,Nom Officiel Région,Nom Officiel Département,Nom Officiel EPCI,Nom Officiel Commune / Arrondissement Municipal,Code Iso 3166-3 Zone,Code Officiel EPCI
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.04474728,1.42591269503","{""type"": ""MultiPoint"", ""coordinates"": [[1.425912695034289, 50.044747280045996]]}",28,76,76255,762550101,2019,A301,Bonne,Réparation automobile et de matériel agricole,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0480289221,1.42115027828","{""type"": ""MultiPoint"", ""coordinates"": [[1.421150278281328, 50.04802892210676]]}",28,76,76255,762550101,2019,D109,Bonne,Structure psychiatrique en ambulatoire,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0542761785,1.4229034504","{""type"": ""MultiPoint"", ""coordinates"": [[1.422903450395383, 50.05427617854568]]}",28,76,76255,762550103,2019,D232,Bonne,Infirmier,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0475782206,1.42001990297","{""type"": ""MultiPoint"", ""coordinates"": [[1.420019902966799, 50.04757822061701]]}",28,76,76255,762550101,2019,A504,Bonne,Restaurant-Restauration rapide,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0533880859,1.3961546141","{""type"": ""MultiPoint"", ""coordinates"": [[1.396154614102204, 50.053388085863126]]}",28,76,76255,762550102,2019,A504,Bonne,Restaurant-Restauration rapide,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0448026778,1.42314206894","{""type"": ""MultiPoint"", ""coordinates"": [[1.423142068936234, 50.044802677773156]]}",28,76,76255,762550101,2019,A205,Bonne,Pompes funèbres,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0424821897,1.42095788235","{""type"": ""MultiPoint"", ""coordinates"": [[1.42095788234596, 50.0424821897165]]}",28,76,76255,762550102,2019,D221,Bonne,Chirurgien dentiste,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0509830712,1.42036136926","{""type"": ""MultiPoint"", ""coordinates"": [[1.420361369262888, 50.05098307120241]]}",28,76,76255,762550101,2019,B302,Bonne,Magasin de vêtements,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0478743793,1.41933520438","{""type"": ""MultiPoint"", ""coordinates"": [[1.419335204377633, 50.047874379333244]]}",28,76,76255,762550101,2019,B301,Bonne,Librairie papeterie journaux,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0481370186,1.41785606492","{""type"": ""MultiPoint"", ""coordinates"": [[1.417856064920489, 50.04813701860192]]}",28,76,76255,762550101,2019,D232,Bonne,Infirmier,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
