COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL,last_modified,datagouv_resource_id,VOTE_ABSTENTION 
SIEEEN,25580118500018,063.BS.2019,2019-10-10,7.8,finances locales/Fonds de concours,Fonds de concours EP COSNE COURS SUR LOIRE,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,062.BS.2019,2019-10-10,7.8,finances locales/Fonds de concours,Fonds de concours EP EGLISE LUZY,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,061.BS.2019,2019-10-10,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Charges de fonctionnement à étaler,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,060.BS.2019,2019-10-10,1.1,commande publique/Marchés publics,CP - Marché de fournitures de véhicules,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,059.CS.2019,2019-10-19,7.10,finances locales/Divers,Mise à disposition de biens COMPETENCE INFORMATIQUE,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,061.CS.2019,2019-10-19,7.3,finances locales/Emprunts,Emprunt Régie de chaleur,2009,RRC - REGIE RESEAUX DE CHALEUR,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,075.BS.2019,2019-11-29,7.5,finances locales/Subventions,Demande de subvention pour la réalisation de deux études de faisabilité chaufferie et réseau de chaleur à Clamecy,2019,RRC - REGIE RESEAUX DE CHALEUR,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,063.CS.2019,2019-10-19,7.3,finances locales/Emprunts,Emprunt Budget Régie de chaleur,2019,RRC - REGIE RESEAUX DE CHALEUR,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,074.BS.2019,2019-11-29,1.6,commande publique/Maîtrise d’oeuvre,Recrutement d'une maîtrise d'œuvre pour la réalisation d'une chaufferie et d'un réseau de chaleur sur la commune de Saint Pierre le Moutier,2019,RRC - REGIE RESEAUX DE CHALEUR,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,073.BS.2019,2019-11-29,7.5,finances locales/Subventions,Dem subvention études avant projet chaufferie et réseau chaleur Saint Pierre le Moutier,2019,RRC - REGIE RESEAUX DE CHALEUR,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,072.BS.2019,2019-11-29,1.1,commande publique/Marchés publics,CP - Marché fourniture et acheminement d'électricité et de gaz,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,071.BS.2019,2019-11-29,5.2,institutions et vie politique/Fonctionnement des assemblées,Adoption du procès verbal du 10 octobre 2019,null,null,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,076.CS.2019,2019-10-19,8.4,domaines de compétences par thèmes/Aménagement du territoire,Modification du règlement intérieur,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,075.CS.2019,2019-10-19,7.10,finances locales/Divers,Réalisation travaux de renforcement Branchement ENEDIS,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,074.CS.2019,2019-10-19,8.8,domaines de compétences par thèmes/Environnement,Convention dze ccopration transport des décehs SYCTOM de Saint Pierre le Moutier,2019,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,073.CS.2019,2019-10-19,8.8,domaines de compétences par thèmes/Environnement,Signature contrat de reprise papier,2019,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,072.CS.2019,2019-10-19,8.8,domaines de compétences par thèmes/Environnement,Avenant au contrat commun Adelphe/CITEO CAP 2022,2019,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,071.CS.2019,2019-10-19,8.8,domaines de compétences par thèmes/Environnement,Contrat ECO MOBILIER 2019-2023,2019,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,070.CS.2019,2019-10-19,8.5,"domaines de compétences par thèmes/Politique de la ville, habitat, logement",AP rénovation énergétique bâtiments publics edtion 2020,2020,BPS - BUDGET PRESTATIONS,PREF058,2019-10-24,87,47,47,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
