dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,resource_found_by,initial_version_name,organization_or_owner,is_valid_v_0.1.0,is_valid_v_0.2.0,is_valid_v_0.2.1,is_valid_v_0.2.2,is_valid_v_0.2.3,is_valid_v_0.3.0,is_valid_v_0.3.1,is_valid_one_version,most_recent_valid_version
5be560ed06e3e70c7877c6f1,Aménagements Cyclables sur le territoire de m2A,amenagements-cyclables-sur-le-territoire-de-m2a,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-sur-le-territoire-de-m2a/,0402d135-0871-4e4f-99bb-c9fdafef75d3,Export au format Shapefile,https://data.mulhouse-alsace.fr/explore/dataset/m2a_amenagements_cyclables_m2a/download?format=shp&timezone=Europe/Berlin&use_labels_for_header=false,2021-07-09T08:51:36,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5be560ed06e3e70c7877c6f1,Aménagements Cyclables sur le territoire de m2A,amenagements-cyclables-sur-le-territoire-de-m2a,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-sur-le-territoire-de-m2a/,055822b0-8f42-4614-a268-6ce39ee1162a,Export au format GeoJSON,https://data.mulhouse-alsace.fr/explore/dataset/m2a_amenagements_cyclables_m2a/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2021-07-09T08:51:36,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5be560ed06e3e70c7877c6f1,Aménagements Cyclables sur le territoire de m2A,amenagements-cyclables-sur-le-territoire-de-m2a,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-sur-le-territoire-de-m2a/,d97c5207-9191-498b-9c06-2d3444e4257e,Export au format JSON,https://data.mulhouse-alsace.fr/explore/dataset/m2a_amenagements_cyclables_m2a/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-07-09T08:51:36,,3 - search request,,mulhouse-alsace-agglomeration,False,False,False,False,False,False,False,False,
5ebf65a39780808d9d233919,Déconfinement - Pistes cyclables temporaires,deconfinement-pistes-cyclables-temporaires,https://www.data.gouv.fr/fr/datasets/deconfinement-pistes-cyclables-temporaires/,fc8ffcd1-0681-4db9-8be0-de978438c893,Export au format GeoJSON,https://opendata.paris.fr/explore/dataset/deconfinement-pistes-cyclables-temporaires/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T04:38:16,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5be560ed06e3e70c7877c6f1,Aménagements Cyclables sur le territoire de m2A,amenagements-cyclables-sur-le-territoire-de-m2a,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-sur-le-territoire-de-m2a/,8729b80e-3846-4006-9a1c-7c2cb4477048,Export au format CSV,https://data.mulhouse-alsace.fr/explore/dataset/m2a_amenagements_cyclables_m2a/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-07-09T08:51:36,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5dbb77709ce2e70f3cb62c09,Amenagements cyclables en Corse,amenagements-cyclables-en-corse,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-en-corse/,7daa40cf-edde-4f64-9963-e3092a2e2b30,Export au format GeoJSON,https://www.data.corsica/explore/dataset/amenagements-cyclables-en-corse/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2019-10-31T13:56:42,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5dbb77709ce2e70f3cb62c09,Amenagements cyclables en Corse,amenagements-cyclables-en-corse,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-en-corse/,928582d0-096e-4b48-9a08-a5d97e3e4f7d,Export au format JSON,https://www.data.corsica/explore/dataset/amenagements-cyclables-en-corse/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2019-10-31T13:56:42,,3 - search request,,collectivite-territoriale-de-corse,False,False,False,False,False,False,False,False,
5dbb77709ce2e70f3cb62c09,Amenagements cyclables en Corse,amenagements-cyclables-en-corse,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-en-corse/,ef3f72af-4494-4a67-818d-ca9f873ce688,Export au format CSV,https://www.data.corsica/explore/dataset/amenagements-cyclables-en-corse/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2019-10-31T13:56:42,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5e14045ddee7e7670a75d9af,Aménagements cyclables,amenagements-cyclables-2,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-2/,f19fd10f-5363-409f-8ccc-e5094e86763b,Export au format Shapefile,https://opendata.hauts-de-seine.fr/explore/dataset/fr-219200631-itineraires-cyclables/download?format=shp&timezone=Europe/Berlin&use_labels_for_header=false,2020-01-06T09:02:20.129000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5e14045ddee7e7670a75d9af,Aménagements cyclables,amenagements-cyclables-2,https://www.data.gouv.fr/fr/datasets/amenagements-cyclables-2/,249398f3-a3e8-43a2-b6ee-bb3921e50f46,Export au format GeoJSON,https://opendata.hauts-de-seine.fr/explore/dataset/fr-219200631-itineraires-cyclables/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2020-01-06T09:02:20.129000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
