n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilité,observations,date_maj,last_modified,datagouv_resource_id,Numéro pdc,Numéro station,accessibilitÃ©
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*73,IZIVIA Grand Lyon | Lyon 3 | Avenue Lacassagne,"10 Avenue Lacassagne, Lyon",69123,4.8635214,45.756307,4,FR*GLY*ELYON*73*2*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*73,IZIVIA Grand Lyon | Lyon 3 | Avenue Lacassagne,"10 Avenue Lacassagne, Lyon",69123,4.8635214,45.756307,4,FR*GLY*ELYON*73*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*83,IZIVIA Grand Lyon | Lyon 2 | Antoine Vollon,"4 place Antoine Vollon, Lyon",69123,4.8276567,45.755746,4,FR*GLY*ELYON*83*4*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*83,IZIVIA Grand Lyon | Lyon 2 | Antoine Vollon,"4 place Antoine Vollon, Lyon",69123,4.8276567,45.755746,4,FR*GLY*ELYON*83*3*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*83,IZIVIA Grand Lyon | Lyon 2 | Antoine Vollon,"4 place Antoine Vollon, Lyon",69123,4.8276567,45.755746,4,FR*GLY*ELYON*83*2*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*83,IZIVIA Grand Lyon | Lyon 2 | Antoine Vollon,"4 place Antoine Vollon, Lyon",69123,4.8276567,45.755746,4,FR*GLY*ELYON*83*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*39,IZIVIA Grand Lyon | Lyon | Saint Jean de Dieu,"Face au 289 route de Vienne, Lyon",69123,4.853851,45.725868,4,FR*GLY*ELYON*39*2*2,22,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*39,IZIVIA Grand Lyon | Lyon | Saint Jean de Dieu,"Face au 289 route de Vienne, Lyon",69123,4.853851,45.725868,4,FR*GLY*ELYON*39*2*1,24,Combo - ChaDeMo,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*39,IZIVIA Grand Lyon | Lyon | Saint Jean de Dieu,"Face au 289 route de Vienne, Lyon",69123,4.853851,45.725868,4,FR*GLY*ELYON*39*1*1,24,Combo - ChaDeMo,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*37,IZIVIA Grand Lyon | Lyon | Jean Jaurès,"4, rue Marie-Madeleine Fourcade, Lyon",69123,4.837835,45.737199,4,FR*GLY*ELYON*37*2*1,24,Combo - ChaDeMo,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*39,IZIVIA Grand Lyon | Lyon | Saint Jean de Dieu,"Face au 289 route de Vienne, Lyon",69123,4.853851,45.725868,4,FR*GLY*ELYON*39*1*2,22,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*48,IZIVIA Grand Lyon | Lyon | Grand Trou,"Face au 102 rue Croix Barret, Lyon",69123,4.852093,45.737324,4,FR*GLY*ELYON*48*2*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*42,IZIVIA Grand Lyon | Jonage | ZI Meyzieu-Jonage,"Avenue Schneider, Jonage",69279,5.035817,45.770299,4,FR*GLY*ELYON*42*1*1,24,Combo - ChaDeMo,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
