dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_2.0.2,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
60a25db97473ac6fcc056a88,ELECTRO MOB,electro-mob-2,https://www.data.gouv.fr/fr/datasets/electro-mob-2/,e3004f2e-599a-4844-bf0c-ec1f0d7f5c7f,etalab-schema-irve-aclea.csv,https://static.data.gouv.fr/resources/electro-mob-2/20210517-141317/etalab-schema-irve-aclea.csv,2021-05-17T14:13:36.396000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
60dd794b1738cc348eaa0dd7,ELECTRO MOB,electro-mob-13,https://www.data.gouv.fr/fr/datasets/electro-mob-13/,0825ac74-dc3f-4b67-bd3f-0f5b806aca1d,etalab-schema-irve-services-funeraires-organisation.csv,https://static.data.gouv.fr/resources/electro-mob-13/20210701-102827/etalab-schema-irve-services-funeraires-organisation.csv,2021-07-01T10:29:27.604000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
610beac00c3d31213ae30647,ELECTRO MOB,electro-mob-20,https://www.data.gouv.fr/fr/datasets/electro-mob-20/,99633f7a-39bb-4ce2-ab3e-e3138e73bbbc,etalab-schema-irve-les-pleiades.csv,https://static.data.gouv.fr/resources/electro-mob-20/20210805-154226/etalab-schema-irve-les-pleiades.csv,2021-08-05T15:42:45.692000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
5ea9832d012de566efb0627b,IRVE_CCPHVA,irve-ccphva,https://www.data.gouv.fr/fr/datasets/irve-ccphva/,ee6c78d6-76fc-4308-b8cb-b307712bf832,irve-ccphva-20200429.csv,https://static.data.gouv.fr/resources/irve-ccphva/20200429-154327/irve-ccphva-20200429.csv,2020-04-29T15:43:46.729000,salim-el-rhazi,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
60a3cf19130cf60998fcfc0f,ELECTRO MOB,electro-mob-3,https://www.data.gouv.fr/fr/datasets/electro-mob-3/,2420e873-88ee-45d0-8aa1-5e4927ae2991,etalab-schema-irve-emendo-2128.csv,https://static.data.gouv.fr/resources/electro-mob-3/20210518-162848/etalab-schema-irve-emendo-2128.csv,2021-05-18T16:29:07.499000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
5fb453118f4af26f7a8a9348,Bornes de recharges IRVE opérée par Virta en France,bornes-de-recharges-irve-operee-par-virta-en-france,https://www.data.gouv.fr/fr/datasets/bornes-de-recharges-irve-operee-par-virta-en-france/,fb415ac1-7e0f-4354-9f12-795e287acf7a,irve-virta-20201117.csv,https://static.data.gouv.fr/resources/bornes-de-recharges-irve-operee-par-virta-en-france/20201117-234757/irve-virta-20201117.csv,2021-05-28T16:57:35.758000,,orphan-dataset,1 - schema request,1.0.3,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
61546b672915bb2ab9bccd8c,ELECTRO MOB,electro-mob-24,https://www.data.gouv.fr/fr/datasets/electro-mob-24/,abd6fc89-0fe0-49c3-a5cd-b979883f12ed,etalab-schema-irve-areas-dommages-60.csv,https://static.data.gouv.fr/resources/electro-mob-24/20210929-153444/etalab-schema-irve-areas-dommages-60.csv,2021-09-29T15:35:38.026000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
6061e0d6b7d258c3237bd0fb,ELECTRO-MOBILITY,electro-mobility-4,https://www.data.gouv.fr/fr/datasets/electro-mobility-4/,1579c16c-5b23-46d9-880e-f228f97acc33,etalab-schema-irve-blueselfstockage93-.csv,https://static.data.gouv.fr/resources/electro-mobility-4/20210329-161507/etalab-schema-irve-blueselfstockage93-.csv,2021-03-29T16:15:44.864000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
60a24649240bc81a191a3568,ELECTRO MOB,electro-mob-1,https://www.data.gouv.fr/fr/datasets/electro-mob-1/,f267e0f2-cd70-41c3-80cd-8f3bf1d8c881,etalab-schema-irve-gds-materieaux.csv,https://static.data.gouv.fr/resources/electro-mob-1/20210517-123251/etalab-schema-irve-gds-materieaux.csv,2021-05-17T12:33:22.260000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
60c0c7fae2cfc8e35a8c25ff,ELECTRO MOB,electro-mob-6,https://www.data.gouv.fr/fr/datasets/electro-mob-6/,ca662511-1ea0-4358-822d-b982fe7b2a4f,etalab-schema-irve-grand-connetable.csv,https://static.data.gouv.fr/resources/electro-mob-6/20210609-155425/etalab-schema-irve-grand-connetable.csv,2021-06-09T15:55:48.415000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
60f82bb1c0b3c2145cf8fc62,ELECTRO MOB,electro-mob-19,https://www.data.gouv.fr/fr/datasets/electro-mob-19/,5411a65d-3c71-4fcc-8f4a-07a23c818c94,etalab-schema-irve-societe-de-cloisons-platrerie-isolation-menuiserie.csv,https://static.data.gouv.fr/resources/electro-mob-19/20210721-161413/etalab-schema-irve-societe-de-cloisons-platrerie-isolation-menuiserie.csv,2021-07-21T16:14:29.232000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
6141eab53c46dd5bf45ef6a2,ELECTRO MOB,electro-mob-23,https://www.data.gouv.fr/fr/datasets/electro-mob-23/,fa611732-a4fe-4cf1-8ed4-c50459e6d567,etalab-schema-irve-view.csv,https://static.data.gouv.fr/resources/electro-mob-23/20210915-144442/etalab-schema-irve-view.csv,2021-09-15T14:45:13.967000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
6051e73b824c82b3dc1a587b,ELECTRO-MOBILITY,electro-mobility,https://www.data.gouv.fr/fr/datasets/electro-mobility/,b54093fb-7f95-4ce2-8a62-4471538d8bfa,etalab-schema-irve-tambour.csv,https://static.data.gouv.fr/resources/electro-mobility/20210317-122825/etalab-schema-irve-tambour.csv,2021-03-17T12:31:24.035000,eywaz-kilic,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
