dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,organization_or_owner,resource_found_by,initial_version_name,is_valid_v_0.8.1,is_valid_one_version,most_recent_valid_version
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,bb91caa4-5668-474d-93ad-f3f9082a329e,Budget primitif 2021,https://static.data.gouv.fr/resources/budget-primitif-6/20210331-154859/bp2021.xls,2021-03-31T15:49:26.433000,wrong-file-format,,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,c8406c34-e95b-4243-b22d-39a06e62ece7,Budget primitif 2020,https://static.data.gouv.fr/resources/budget-primitif-6/20201007-173825/bp-2020.json,2020-10-07T17:44:01.905000,wrong-file-format,,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,7e7301d3-34b5-4645-96ca-ad022c6a71dd,Budget primitif 2020,https://static.data.gouv.fr/resources/budget-primitif-6/20201007-173809/bp-2020.csv,2020-10-07T17:44:07.834000,,mairie-de-boe,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,2c01951c-df18-4a30-ac94-6af6087a7775,Budget primitif 2020,https://static.data.gouv.fr/resources/budget-primitif-6/20201007-173221/bp-2020.xls,2020-10-07T17:32:57.550000,wrong-file-format,,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,d7f1eaa8-f3d3-476d-9e8a-d2604749acdd,Budget primitif 2019,https://static.data.gouv.fr/resources/budget-primitif-2017-1/20201006-173338/bp-2019.json,2020-10-06T17:33:47.835000,wrong-file-format,,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,cdcf62ef-78b5-4623-b6ad-3d4484f18c18,Budget primitif  2019,https://static.data.gouv.fr/resources/budget-primitif-2017-1/20201006-173214/bp-2019.csv,2020-10-06T17:33:08.476000,,mairie-de-boe,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,b53cf2d9-01f6-4a85-8d89-1b2679e6946f,Budget primitif 2019,https://static.data.gouv.fr/resources/budget-primitif-2017-1/20201006-173151/bp-2019.xls,2020-10-06T17:32:07.499000,wrong-file-format,,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,4222f0dd-c527-4375-b85f-b0936918a25d,Budget primitif 2018,https://static.data.gouv.fr/resources/budget-primitif-2017-1/20201006-173127/bp-2018.json,2020-10-06T17:31:39.261000,wrong-file-format,,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,bfb84a4a-ca8a-4b4e-9cd5-87ba508c78fd,Budget primitif 2018,https://static.data.gouv.fr/resources/budget-primitif-2017-1/20201006-173023/bp-2018.csv,2020-10-06T17:30:47.550000,,mairie-de-boe,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,1504d9b6-3b02-4d21-928e-7ca36587b3be,Budget primitif 2018,https://static.data.gouv.fr/resources/budget-primitif-2017-1/20201006-172946/bp-2018.xls,2020-10-06T17:30:09.247000,wrong-file-format,,1 - schema request,,False,False,
596df7b488ee384a6742278f,Dépenses de fonctionnement par service ,depenses-de-fonctionnement-par-service,https://www.data.gouv.fr/fr/datasets/depenses-de-fonctionnement-par-service/,bfbee542-d5cd-4b3c-b8ef-81ac0c341720,Dépenses de fonctionnement par service 2018,https://static.data.gouv.fr/resources/depenses-de-fonctionnement-par-service-2016/20201007-170054/fonctionnement-2018-par-services.csv,2020-10-07T17:19:34.363000,,mairie-de-boe,1 - schema request,,False,False,
596ca590c751df248b567668,Budget Primitif,budget-primitif-6,https://www.data.gouv.fr/fr/datasets/budget-primitif-6/,f739c706-1704-43fc-97ec-565f5d3de67b,Budget primitif 2017,https://static.data.gouv.fr/resources/budget-primitif-commune-de-boe-2017/20170718-083113/BP-2017.xls,2017-07-18T10:29:27.094000,wrong-file-format,,1 - schema request,,False,False,
